implementation,payload_bytes,capacity_items,items_per_second_median,benchmark_name,source_file
SPSCBufferBaseline,1,1,5144902,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,4,7532374,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,64,7596749,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,256,7085628,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,1024,8096045,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,4096,7563968,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,16384,7560675,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,32768,7524565,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,1,5168772,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,4,7082356,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,64,7358914,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,256,7369796,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,1024,8026274,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,4096,7352771,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,16384,7376936,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,32768,7482744,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
