implementation,payload_bytes,capacity_items,items_per_second_median,benchmark_name,source_file
SPSCBufferBaseline,1,1,4607260,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,4,10414009,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,64,10925933,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,256,10837386,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,1024,10014199,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,4096,10709096,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,16384,11374103,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,1,32768,11307542,BM_SPSCBufferBaseline<bench::data::BenchPayload<1>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,1,4123645,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,4,9394729,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,64,10748105,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,256,10805162,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,1024,10287512,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,4096,10734099,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,16384,10739885,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,2,32768,10609036,BM_SPSCBufferBaseline<bench::data::BenchPayload<2>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,1,4105473,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,4,9553596,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,64,10848592,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,256,10888167,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,1024,10368459,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,4096,10856143,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,16384,10662098,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
SPSCBufferBaseline,4,32768,10194332,BM_SPSCBufferBaseline<bench::data::BenchPayload<4>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-isolated.json
