implementation,payload_bytes,capacity_items,items_per_second_median,benchmark_name,source_file
MutexBuffer,1,1,1019978,BM_MutexBuffer<bench::data::BenchPayload<1>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,4,2434295,BM_MutexBuffer<bench::data::BenchPayload<1>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,64,5924794,BM_MutexBuffer<bench::data::BenchPayload<1>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,256,5948132,BM_MutexBuffer<bench::data::BenchPayload<1>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,1024,5822115,BM_MutexBuffer<bench::data::BenchPayload<1>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,4096,5883225,BM_MutexBuffer<bench::data::BenchPayload<1>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,16384,5814761,BM_MutexBuffer<bench::data::BenchPayload<1>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,1,32768,5797633,BM_MutexBuffer<bench::data::BenchPayload<1>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,1,1018101,BM_MutexBuffer<bench::data::BenchPayload<2>>/1/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,4,2834454,BM_MutexBuffer<bench::data::BenchPayload<2>>/4/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,64,5813199,BM_MutexBuffer<bench::data::BenchPayload<2>>/64/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,256,5826387,BM_MutexBuffer<bench::data::BenchPayload<2>>/256/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,1024,5783994,BM_MutexBuffer<bench::data::BenchPayload<2>>/1024/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,4096,5811575,BM_MutexBuffer<bench::data::BenchPayload<2>>/4096/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,16384,5804146,BM_MutexBuffer<bench::data::BenchPayload<2>>/16384/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
MutexBuffer,2,32768,5826294,BM_MutexBuffer<bench::data::BenchPayload<2>>/32768/min_warmup_time:0.500/repeats:20/real_time_median,/home/ethanmathew/Code/ring-buffer-benchmarks/bench/results/raw/28-04-2026-main.json
